t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,genes
alvordensis,bicolor.columbianus,bicolor.eurysomas,isolatus,0.0986,0.0563,0.8451,71
alvordensis,bicolor.columbianus,bicolor.eurysomas,isolatus,0.1184,0.0789,0.8026,76
alvordensis,bicolor.columbianus,bicolor.eurysomas,Lida.Pond,0.1304,0.0217,0.8478,46
alvordensis,bicolor.columbianus,bicolor.eurysomas,Lida.Pond,0.1186,0.0508,0.8305,59
alvordensis,bicolor.columbianus,bicolor.eurysomas,Little.Fish.Lake.Valley,0.1207,0.069,0.8103,58
alvordensis,bicolor.columbianus,bicolor.eurysomas,Little.Fish.Lake.Valley,0.1311,0.082,0.7869,61
alvordensis,bicolor.columbianus,bicolor.eurysomas,McNett.Ranch,0.1045,0.0149,0.8806,67
alvordensis,bicolor.columbianus,bicolor.eurysomas,McNett.Ranch,0.1084,0.0602,0.8313,83
alvordensis,bicolor.columbianus,bicolor.eurysomas,mohavensis,0.1321,0.0377,0.8302,53
alvordensis,bicolor.columbianus,bicolor.eurysomas,mohavensis,0.04,0,0.96,50
alvordensis,bicolor.columbianus,bicolor.eurysomas,newarkensis,0.1111,0.0476,0.8413,63
alvordensis,bicolor.columbianus,bicolor.eurysomas,newarkensis,0.1552,0.0517,0.7931,58
alvordensis,bicolor.columbianus,bicolor.eurysomas,obesus.lahontan,0.119,0.0238,0.8571,42
alvordensis,bicolor.columbianus,bicolor.eurysomas,obesus.lahontan,0.1622,0.1081,0.7297,37
alvordensis,bicolor.columbianus,bicolor.eurysomas,obesus.snyderi,0.0769,0.0923,0.8308,65
alvordensis,bicolor.columbianus,bicolor.eurysomas,obesus.snyderi,0.0984,0.0492,0.8525,61
alvordensis,bicolor.columbianus,bicolor.eurysomas,obesus.toikona,0.0179,0.0357,0.9464,56
alvordensis,bicolor.columbianus,bicolor.eurysomas,obesus.toikona,0.0909,0.0182,0.8909,55
alvordensis,bicolor.columbianus,bicolor.eurysomas,Railroad.Valley,0.1786,0,0.8214,56
alvordensis,bicolor.columbianus,bicolor.eurysomas,Railroad.Valley,0.1538,0.0385,0.8077,52
alvordensis,bicolor.columbianus,bicolor.eurysomas,thalassinus,0.0588,0.0588,0.8824,68
alvordensis,bicolor.columbianus,bicolor.eurysomas,thalassinus,0.0597,0.0746,0.8657,67
alvordensis,bicolor.columbianus,bicolor.eurysomas,thalassinus.vaccaceps,0.1739,0.1304,0.6957,46
alvordensis,bicolor.columbianus,bicolor.eurysomas,thalassinus.vaccaceps,0.1754,0.1228,0.7018,57
alvordensis,bicolor.columbianus,isolatus,Lida.Pond,0.375,0.3333,0.2917,96
alvordensis,bicolor.columbianus,isolatus,Lida.Pond,0.381,0.3143,0.3048,105
alvordensis,bicolor.columbianus,isolatus,Little.Fish.Lake.Valley,0.4,0.325,0.275,80
alvordensis,bicolor.columbianus,isolatus,Little.Fish.Lake.Valley,0.4177,0.3038,0.2785,79
alvordensis,bicolor.columbianus,isolatus,McNett.Ranch,0.33,0.32,0.35,100
alvordensis,bicolor.columbianus,isolatus,McNett.Ranch,0.3333,0.2917,0.375,96
alvordensis,bicolor.columbianus,isolatus,mohavensis,0.3235,0.3529,0.3235,68
alvordensis,bicolor.columbianus,isolatus,mohavensis,0.3239,0.3662,0.3099,71
alvordensis,bicolor.columbianus,isolatus,newarkensis,0.641,0.2051,0.1538,78
alvordensis,bicolor.columbianus,isolatus,newarkensis,0.6324,0.2206,0.1471,68
alvordensis,bicolor.columbianus,isolatus,obesus.lahontan,0.3333,0.3333,0.3333,57
alvordensis,bicolor.columbianus,isolatus,obesus.lahontan,0.4583,0.3056,0.2361,72
alvordensis,bicolor.columbianus,isolatus,obesus.snyderi,0.2381,0.4286,0.3333,42
alvordensis,bicolor.columbianus,isolatus,obesus.snyderi,0.2632,0.3684,0.3684,57
alvordensis,bicolor.columbianus,isolatus,obesus.toikona,0.2584,0.3371,0.4045,89
alvordensis,bicolor.columbianus,isolatus,obesus.toikona,0.3077,0.2949,0.3974,78
alvordensis,bicolor.columbianus,isolatus,Railroad.Valley,0.3939,0.3939,0.2121,66
alvordensis,bicolor.columbianus,isolatus,Railroad.Valley,0.3966,0.2931,0.3103,58
alvordensis,bicolor.columbianus,isolatus,thalassinus,0.3548,0.2742,0.371,62
alvordensis,bicolor.columbianus,isolatus,thalassinus,0.32,0.2667,0.4133,75
alvordensis,bicolor.columbianus,isolatus,thalassinus.vaccaceps,0.2105,0.5439,0.2456,57
alvordensis,bicolor.columbianus,isolatus,thalassinus.vaccaceps,0.2388,0.5672,0.194,67
alvordensis,bicolor.columbianus,Lida.Pond,Little.Fish.Lake.Valley,0.4545,0.2727,0.2727,99
alvordensis,bicolor.columbianus,Lida.Pond,Little.Fish.Lake.Valley,0.4078,0.3107,0.2816,103
alvordensis,bicolor.columbianus,Lida.Pond,McNett.Ranch,0.9254,0.0299,0.0448,134
alvordensis,bicolor.columbianus,Lida.Pond,McNett.Ranch,0.9429,0.0286,0.0286,140
alvordensis,bicolor.columbianus,Lida.Pond,mohavensis,0.4058,0.3478,0.2464,69
alvordensis,bicolor.columbianus,Lida.Pond,mohavensis,0.5591,0.2366,0.2043,93
alvordensis,bicolor.columbianus,Lida.Pond,newarkensis,0.2949,0.3974,0.3077,78
alvordensis,bicolor.columbianus,Lida.Pond,newarkensis,0.3472,0.375,0.2778,72
alvordensis,bicolor.columbianus,Lida.Pond,obesus.lahontan,0.4394,0.2879,0.2727,66
alvordensis,bicolor.columbianus,Lida.Pond,obesus.lahontan,0.4737,0.3158,0.2105,76
alvordensis,bicolor.columbianus,Lida.Pond,obesus.snyderi,0.4189,0.2162,0.3649,74
alvordensis,bicolor.columbianus,Lida.Pond,obesus.snyderi,0.4205,0.2727,0.3068,88
alvordensis,bicolor.columbianus,Lida.Pond,obesus.toikona,0.4634,0.2073,0.3293,82
alvordensis,bicolor.columbianus,Lida.Pond,obesus.toikona,0.481,0.2278,0.2911,79
alvordensis,bicolor.columbianus,Lida.Pond,Railroad.Valley,0.4082,0.2857,0.3061,98
alvordensis,bicolor.columbianus,Lida.Pond,Railroad.Valley,0.3836,0.3562,0.2603,73
alvordensis,bicolor.columbianus,Lida.Pond,thalassinus,0.2436,0.3462,0.4103,78
alvordensis,bicolor.columbianus,Lida.Pond,thalassinus,0.2329,0.3699,0.3973,73
alvordensis,bicolor.columbianus,Lida.Pond,thalassinus.vaccaceps,0.2051,0.5128,0.2821,78
alvordensis,bicolor.columbianus,Lida.Pond,thalassinus.vaccaceps,0.2812,0.4531,0.2656,64
alvordensis,bicolor.columbianus,Little.Fish.Lake.Valley,McNett.Ranch,0.4537,0.2315,0.3148,108
alvordensis,bicolor.columbianus,Little.Fish.Lake.Valley,McNett.Ranch,0.3889,0.3444,0.2667,90
alvordensis,bicolor.columbianus,Little.Fish.Lake.Valley,mohavensis,0.3836,0.3151,0.3014,73
alvordensis,bicolor.columbianus,Little.Fish.Lake.Valley,mohavensis,0.3803,0.3239,0.2958,71
alvordensis,bicolor.columbianus,Little.Fish.Lake.Valley,newarkensis,0.3939,0.3485,0.2576,66
alvordensis,bicolor.columbianus,Little.Fish.Lake.Valley,newarkensis,0.3833,0.3167,0.3,60
alvordensis,bicolor.columbianus,Little.Fish.Lake.Valley,obesus.lahontan,0.4286,0.3036,0.2679,56
alvordensis,bicolor.columbianus,Little.Fish.Lake.Valley,obesus.lahontan,0.4744,0.2564,0.2692,78
alvordensis,bicolor.columbianus,Little.Fish.Lake.Valley,obesus.snyderi,0.3692,0.2769,0.3538,65
alvordensis,bicolor.columbianus,Little.Fish.Lake.Valley,obesus.snyderi,0.3108,0.3378,0.3514,74
alvordensis,bicolor.columbianus,Little.Fish.Lake.Valley,obesus.toikona,0.4,0.3067,0.2933,75
alvordensis,bicolor.columbianus,Little.Fish.Lake.Valley,obesus.toikona,0.3947,0.2632,0.3421,76
alvordensis,bicolor.columbianus,Little.Fish.Lake.Valley,Railroad.Valley,0.7419,0.129,0.129,62
alvordensis,bicolor.columbianus,Little.Fish.Lake.Valley,Railroad.Valley,0.6724,0.1552,0.1724,58
alvordensis,bicolor.columbianus,Little.Fish.Lake.Valley,thalassinus,0.1818,0.5818,0.2364,55
alvordensis,bicolor.columbianus,Little.Fish.Lake.Valley,thalassinus,0.2027,0.3108,0.4865,74
alvordensis,bicolor.columbianus,Little.Fish.Lake.Valley,thalassinus.vaccaceps,0.2105,0.5132,0.2763,76
alvordensis,bicolor.columbianus,Little.Fish.Lake.Valley,thalassinus.vaccaceps,0.2113,0.493,0.2958,71
alvordensis,bicolor.columbianus,McNett.Ranch,mohavensis,0.4865,0.2838,0.2297,74
alvordensis,bicolor.columbianus,McNett.Ranch,mohavensis,0.4444,0.3,0.2556,90
alvordensis,bicolor.columbianus,McNett.Ranch,newarkensis,0.375,0.3438,0.2812,96
alvordensis,bicolor.columbianus,McNett.Ranch,newarkensis,0.2857,0.3968,0.3175,63
alvordensis,bicolor.columbianus,McNett.Ranch,obesus.lahontan,0.4789,0.2254,0.2958,71
alvordensis,bicolor.columbianus,McNett.Ranch,obesus.lahontan,0.5195,0.2597,0.2208,77
alvordensis,bicolor.columbianus,McNett.Ranch,obesus.snyderi,0.4706,0.2353,0.2941,85
alvordensis,bicolor.columbianus,McNett.Ranch,obesus.snyderi,0.4074,0.2716,0.321,81
alvordensis,bicolor.columbianus,McNett.Ranch,obesus.toikona,0.4688,0.2604,0.2708,96
alvordensis,bicolor.columbianus,McNett.Ranch,obesus.toikona,0.4419,0.2791,0.2791,86
alvordensis,bicolor.columbianus,McNett.Ranch,Railroad.Valley,0.4462,0.3538,0.2,65
alvordensis,bicolor.columbianus,McNett.Ranch,Railroad.Valley,0.4,0.3714,0.2286,70
alvordensis,bicolor.columbianus,McNett.Ranch,thalassinus,0.2208,0.3766,0.4026,77
alvordensis,bicolor.columbianus,McNett.Ranch,thalassinus,0.2281,0.4561,0.3158,57
alvordensis,bicolor.columbianus,McNett.Ranch,thalassinus.vaccaceps,0.2368,0.4868,0.2763,76
alvordensis,bicolor.columbianus,McNett.Ranch,thalassinus.vaccaceps,0.2206,0.4853,0.2941,68
alvordensis,bicolor.columbianus,mohavensis,newarkensis,0.3167,0.3667,0.3167,60
alvordensis,bicolor.columbianus,mohavensis,newarkensis,0.3788,0.3485,0.2727,66
alvordensis,bicolor.columbianus,mohavensis,obesus.lahontan,0.5682,0.1364,0.2955,44
alvordensis,bicolor.columbianus,mohavensis,obesus.lahontan,0.5,0.2812,0.2188,64
alvordensis,bicolor.columbianus,mohavensis,obesus.snyderi,0.3273,0.2545,0.4182,55
alvordensis,bicolor.columbianus,mohavensis,obesus.snyderi,0.425,0.375,0.2,40
alvordensis,bicolor.columbianus,mohavensis,obesus.toikona,0.381,0.2143,0.4048,84
alvordensis,bicolor.columbianus,mohavensis,obesus.toikona,0.4262,0.2459,0.3279,61
alvordensis,bicolor.columbianus,mohavensis,Railroad.Valley,0.3846,0.2462,0.3692,65
alvordensis,bicolor.columbianus,mohavensis,Railroad.Valley,0.3971,0.2941,0.3088,68
alvordensis,bicolor.columbianus,mohavensis,thalassinus,0.18,0.32,0.5,50
alvordensis,bicolor.columbianus,mohavensis,thalassinus,0.2222,0.3175,0.4603,63
alvordensis,bicolor.columbianus,mohavensis,thalassinus.vaccaceps,0.2281,0.4912,0.2807,57
alvordensis,bicolor.columbianus,mohavensis,thalassinus.vaccaceps,0.1364,0.4773,0.3864,44
alvordensis,bicolor.columbianus,newarkensis,obesus.lahontan,0.2075,0.4528,0.3396,53
alvordensis,bicolor.columbianus,newarkensis,obesus.lahontan,0.3273,0.2545,0.4182,55
alvordensis,bicolor.columbianus,newarkensis,obesus.snyderi,0.3333,0.2857,0.381,63
alvordensis,bicolor.columbianus,newarkensis,obesus.snyderi,0.2464,0.3623,0.3913,69
alvordensis,bicolor.columbianus,newarkensis,obesus.toikona,0.2769,0.3231,0.4,65
alvordensis,bicolor.columbianus,newarkensis,obesus.toikona,0.2603,0.2603,0.4795,73
alvordensis,bicolor.columbianus,newarkensis,Railroad.Valley,0.4394,0.2879,0.2727,66
alvordensis,bicolor.columbianus,newarkensis,Railroad.Valley,0.3636,0.2909,0.3455,55
alvordensis,bicolor.columbianus,newarkensis,thalassinus,0.2826,0.413,0.3043,46
alvordensis,bicolor.columbianus,newarkensis,thalassinus,0.1622,0.5135,0.3243,37
alvordensis,bicolor.columbianus,newarkensis,thalassinus.vaccaceps,0.2258,0.5,0.2742,62
alvordensis,bicolor.columbianus,newarkensis,thalassinus.vaccaceps,0.2143,0.4429,0.3429,70
alvordensis,bicolor.columbianus,obesus.lahontan,obesus.snyderi,0.3714,0.3143,0.3143,35
alvordensis,bicolor.columbianus,obesus.lahontan,obesus.snyderi,0.439,0.3902,0.1707,41
alvordensis,bicolor.columbianus,obesus.lahontan,obesus.toikona,0.4364,0.2182,0.3455,55
alvordensis,bicolor.columbianus,obesus.lahontan,obesus.toikona,0.3333,0.2821,0.3846,39
alvordensis,bicolor.columbianus,obesus.lahontan,Railroad.Valley,0.5373,0.2687,0.194,67
alvordensis,bicolor.columbianus,obesus.lahontan,Railroad.Valley,0.4559,0.2206,0.3235,68
alvordensis,bicolor.columbianus,obesus.lahontan,thalassinus,0.2623,0.2951,0.4426,61
alvordensis,bicolor.columbianus,obesus.lahontan,thalassinus,0.2632,0.3684,0.3684,57
alvordensis,bicolor.columbianus,obesus.lahontan,thalassinus.vaccaceps,0.2222,0.5185,0.2593,54
alvordensis,bicolor.columbianus,obesus.lahontan,thalassinus.vaccaceps,0.2069,0.431,0.3621,58
alvordensis,bicolor.columbianus,obesus.snyderi,obesus.toikona,0.5,0.2568,0.2432,74
alvordensis,bicolor.columbianus,obesus.snyderi,obesus.toikona,0.5536,0.25,0.1964,56
alvordensis,bicolor.columbianus,obesus.snyderi,Railroad.Valley,0.42,0.3,0.28,50
alvordensis,bicolor.columbianus,obesus.snyderi,Railroad.Valley,0.3492,0.3968,0.254,63
alvordensis,bicolor.columbianus,obesus.snyderi,thalassinus,0.1463,0.439,0.4146,41
alvordensis,bicolor.columbianus,obesus.snyderi,thalassinus,0.2245,0.2653,0.5102,49
alvordensis,bicolor.columbianus,obesus.snyderi,thalassinus.vaccaceps,0.2712,0.4915,0.2373,59
alvordensis,bicolor.columbianus,obesus.snyderi,thalassinus.vaccaceps,0.2188,0.5312,0.25,64
alvordensis,bicolor.columbianus,obesus.toikona,Railroad.Valley,0.3284,0.4478,0.2239,67
alvordensis,bicolor.columbianus,obesus.toikona,Railroad.Valley,0.3735,0.3012,0.3253,83
alvordensis,bicolor.columbianus,obesus.toikona,thalassinus,0.1948,0.3377,0.4675,77
alvordensis,bicolor.columbianus,obesus.toikona,thalassinus,0.3014,0.411,0.2877,73
alvordensis,bicolor.columbianus,obesus.toikona,thalassinus.vaccaceps,0.2,0.4909,0.3091,55
alvordensis,bicolor.columbianus,obesus.toikona,thalassinus.vaccaceps,0.1791,0.5522,0.2687,67
alvordensis,bicolor.columbianus,Railroad.Valley,thalassinus,0.1967,0.3443,0.459,61
alvordensis,bicolor.columbianus,Railroad.Valley,thalassinus,0.2222,0.3492,0.4286,63
alvordensis,bicolor.columbianus,Railroad.Valley,thalassinus.vaccaceps,0.1875,0.5469,0.2656,64
alvordensis,bicolor.columbianus,Railroad.Valley,thalassinus.vaccaceps,0.2034,0.5254,0.2712,59
alvordensis,bicolor.columbianus,thalassinus,thalassinus.vaccaceps,0.2632,0.6316,0.1053,57
alvordensis,bicolor.columbianus,thalassinus,thalassinus.vaccaceps,0.2203,0.5593,0.2203,59
alvordensis,bicolor.eurysomas,isolatus,Lida.Pond,0.3505,0.3402,0.3093,97
alvordensis,bicolor.eurysomas,isolatus,Lida.Pond,0.3556,0.2778,0.3667,90
alvordensis,bicolor.eurysomas,isolatus,Little.Fish.Lake.Valley,0.2963,0.3457,0.358,81
alvordensis,bicolor.eurysomas,isolatus,Little.Fish.Lake.Valley,0.3662,0.3099,0.3239,71
alvordensis,bicolor.eurysomas,isolatus,McNett.Ranch,0.3208,0.3208,0.3585,106
alvordensis,bicolor.eurysomas,isolatus,McNett.Ranch,0.3663,0.297,0.3366,101
alvordensis,bicolor.eurysomas,isolatus,mohavensis,0.3026,0.3816,0.3158,76
alvordensis,bicolor.eurysomas,isolatus,mohavensis,0.3333,0.303,0.3636,66
alvordensis,bicolor.eurysomas,isolatus,newarkensis,0.629,0.2097,0.1613,62
alvordensis,bicolor.eurysomas,isolatus,newarkensis,0.6094,0.2656,0.125,64
alvordensis,bicolor.eurysomas,isolatus,obesus.lahontan,0.3443,0.3934,0.2623,61
alvordensis,bicolor.eurysomas,isolatus,obesus.lahontan,0.375,0.375,0.25,56
alvordensis,bicolor.eurysomas,isolatus,obesus.snyderi,0.2545,0.4182,0.3273,55
alvordensis,bicolor.eurysomas,isolatus,obesus.snyderi,0.25,0.3077,0.4423,52
alvordensis,bicolor.eurysomas,isolatus,obesus.toikona,0.3165,0.2785,0.4051,79
alvordensis,bicolor.eurysomas,isolatus,obesus.toikona,0.2955,0.3409,0.3636,88
alvordensis,bicolor.eurysomas,isolatus,Railroad.Valley,0.4333,0.3,0.2667,60
alvordensis,bicolor.eurysomas,isolatus,Railroad.Valley,0.3824,0.3824,0.2353,68
alvordensis,bicolor.eurysomas,isolatus,thalassinus,0.2353,0.3529,0.4118,68
alvordensis,bicolor.eurysomas,isolatus,thalassinus,0.1667,0.3167,0.5167,60
alvordensis,bicolor.eurysomas,isolatus,thalassinus.vaccaceps,0.2031,0.5156,0.2812,64
alvordensis,bicolor.eurysomas,isolatus,thalassinus.vaccaceps,0.2222,0.5079,0.2698,63
alvordensis,bicolor.eurysomas,Lida.Pond,Little.Fish.Lake.Valley,0.3626,0.3626,0.2747,91
alvordensis,bicolor.eurysomas,Lida.Pond,Little.Fish.Lake.Valley,0.3908,0.2989,0.3103,87
alvordensis,bicolor.eurysomas,Lida.Pond,McNett.Ranch,0.9412,0.042,0.0168,119
alvordensis,bicolor.eurysomas,Lida.Pond,McNett.Ranch,0.9536,0.0199,0.0265,151
alvordensis,bicolor.eurysomas,Lida.Pond,mohavensis,0.3803,0.3239,0.2958,71
alvordensis,bicolor.eurysomas,Lida.Pond,mohavensis,0.4159,0.3009,0.2832,113
alvordensis,bicolor.eurysomas,Lida.Pond,newarkensis,0.2895,0.4474,0.2632,76
alvordensis,bicolor.eurysomas,Lida.Pond,newarkensis,0.2933,0.4267,0.28,75
alvordensis,bicolor.eurysomas,Lida.Pond,obesus.lahontan,0.5075,0.2836,0.209,67
alvordensis,bicolor.eurysomas,Lida.Pond,obesus.lahontan,0.4462,0.3077,0.2462,65
alvordensis,bicolor.eurysomas,Lida.Pond,obesus.snyderi,0.3656,0.3548,0.2796,93
alvordensis,bicolor.eurysomas,Lida.Pond,obesus.snyderi,0.3974,0.2692,0.3333,78
alvordensis,bicolor.eurysomas,Lida.Pond,obesus.toikona,0.4286,0.3077,0.2637,91
alvordensis,bicolor.eurysomas,Lida.Pond,obesus.toikona,0.3913,0.2609,0.3478,92
alvordensis,bicolor.eurysomas,Lida.Pond,Railroad.Valley,0.3857,0.3286,0.2857,70
alvordensis,bicolor.eurysomas,Lida.Pond,Railroad.Valley,0.3816,0.3684,0.25,76
alvordensis,bicolor.eurysomas,Lida.Pond,thalassinus,0.2632,0.3684,0.3684,76
alvordensis,bicolor.eurysomas,Lida.Pond,thalassinus,0.2419,0.5,0.2581,62
alvordensis,bicolor.eurysomas,Lida.Pond,thalassinus.vaccaceps,0.2619,0.4762,0.2619,84
alvordensis,bicolor.eurysomas,Lida.Pond,thalassinus.vaccaceps,0.1948,0.5325,0.2727,77
alvordensis,bicolor.eurysomas,Little.Fish.Lake.Valley,McNett.Ranch,0.4227,0.2887,0.2887,97
alvordensis,bicolor.eurysomas,Little.Fish.Lake.Valley,McNett.Ranch,0.4455,0.2673,0.2871,101
alvordensis,bicolor.eurysomas,Little.Fish.Lake.Valley,mohavensis,0.3934,0.2951,0.3115,61
alvordensis,bicolor.eurysomas,Little.Fish.Lake.Valley,mohavensis,0.381,0.3452,0.2738,84
alvordensis,bicolor.eurysomas,Little.Fish.Lake.Valley,newarkensis,0.3333,0.3333,0.3333,66
alvordensis,bicolor.eurysomas,Little.Fish.Lake.Valley,newarkensis,0.3333,0.3636,0.303,66
alvordensis,bicolor.eurysomas,Little.Fish.Lake.Valley,obesus.lahontan,0.4545,0.2909,0.2545,55
alvordensis,bicolor.eurysomas,Little.Fish.Lake.Valley,obesus.lahontan,0.4231,0.2308,0.3462,52
alvordensis,bicolor.eurysomas,Little.Fish.Lake.Valley,obesus.snyderi,0.3065,0.2903,0.4032,62
alvordensis,bicolor.eurysomas,Little.Fish.Lake.Valley,obesus.snyderi,0.3333,0.3333,0.3333,69
alvordensis,bicolor.eurysomas,Little.Fish.Lake.Valley,obesus.toikona,0.3478,0.3188,0.3333,69
alvordensis,bicolor.eurysomas,Little.Fish.Lake.Valley,obesus.toikona,0.3151,0.3151,0.3699,73
alvordensis,bicolor.eurysomas,Little.Fish.Lake.Valley,Railroad.Valley,0.8235,0.1324,0.0441,68
alvordensis,bicolor.eurysomas,Little.Fish.Lake.Valley,Railroad.Valley,0.7302,0.1429,0.127,63
alvordensis,bicolor.eurysomas,Little.Fish.Lake.Valley,thalassinus,0.2464,0.3478,0.4058,69
alvordensis,bicolor.eurysomas,Little.Fish.Lake.Valley,thalassinus,0.2267,0.36,0.4133,75
alvordensis,bicolor.eurysomas,Little.Fish.Lake.Valley,thalassinus.vaccaceps,0.1364,0.5455,0.3182,66
alvordensis,bicolor.eurysomas,Little.Fish.Lake.Valley,thalassinus.vaccaceps,0.1698,0.5472,0.283,53
alvordensis,bicolor.eurysomas,McNett.Ranch,mohavensis,0.3908,0.3103,0.2989,87
alvordensis,bicolor.eurysomas,McNett.Ranch,mohavensis,0.3871,0.2903,0.3226,93
alvordensis,bicolor.eurysomas,McNett.Ranch,newarkensis,0.3492,0.3651,0.2857,63
alvordensis,bicolor.eurysomas,McNett.Ranch,newarkensis,0.3382,0.3529,0.3088,68
alvordensis,bicolor.eurysomas,McNett.Ranch,obesus.lahontan,0.4483,0.3563,0.1954,87
alvordensis,bicolor.eurysomas,McNett.Ranch,obesus.lahontan,0.4306,0.2361,0.3333,72
alvordensis,bicolor.eurysomas,McNett.Ranch,obesus.snyderi,0.3218,0.3448,0.3333,87
alvordensis,bicolor.eurysomas,McNett.Ranch,obesus.snyderi,0.3714,0.3143,0.3143,70
alvordensis,bicolor.eurysomas,McNett.Ranch,obesus.toikona,0.4819,0.2771,0.241,83
alvordensis,bicolor.eurysomas,McNett.Ranch,obesus.toikona,0.3929,0.2738,0.3333,84
alvordensis,bicolor.eurysomas,McNett.Ranch,Railroad.Valley,0.4512,0.2805,0.2683,82
alvordensis,bicolor.eurysomas,McNett.Ranch,Railroad.Valley,0.4103,0.2821,0.3077,78
alvordensis,bicolor.eurysomas,McNett.Ranch,thalassinus,0.2353,0.3765,0.3882,85
alvordensis,bicolor.eurysomas,McNett.Ranch,thalassinus,0.2471,0.3412,0.4118,85
alvordensis,bicolor.eurysomas,McNett.Ranch,thalassinus.vaccaceps,0.2239,0.5224,0.2537,67
alvordensis,bicolor.eurysomas,McNett.Ranch,thalassinus.vaccaceps,0.2375,0.5375,0.225,80
alvordensis,bicolor.eurysomas,mohavensis,newarkensis,0.2931,0.3793,0.3276,58
alvordensis,bicolor.eurysomas,mohavensis,newarkensis,0.3514,0.3514,0.2973,74
alvordensis,bicolor.eurysomas,mohavensis,obesus.lahontan,0.4727,0.2364,0.2909,55
alvordensis,bicolor.eurysomas,mohavensis,obesus.lahontan,0.5,0.0938,0.4062,32
alvordensis,bicolor.eurysomas,mohavensis,obesus.snyderi,0.3,0.25,0.45,40
alvordensis,bicolor.eurysomas,mohavensis,obesus.snyderi,0.2687,0.3582,0.3731,67
alvordensis,bicolor.eurysomas,mohavensis,obesus.toikona,0.4085,0.2676,0.3239,71
alvordensis,bicolor.eurysomas,mohavensis,obesus.toikona,0.3582,0.3134,0.3284,67
alvordensis,bicolor.eurysomas,mohavensis,Railroad.Valley,0.3857,0.2857,0.3286,70
alvordensis,bicolor.eurysomas,mohavensis,Railroad.Valley,0.4189,0.3378,0.2432,74
alvordensis,bicolor.eurysomas,mohavensis,thalassinus,0.22,0.32,0.46,50
alvordensis,bicolor.eurysomas,mohavensis,thalassinus,0.1034,0.4138,0.4828,58
alvordensis,bicolor.eurysomas,mohavensis,thalassinus.vaccaceps,0.1562,0.5312,0.3125,64
alvordensis,bicolor.eurysomas,mohavensis,thalassinus.vaccaceps,0.2121,0.4848,0.303,66
alvordensis,bicolor.eurysomas,newarkensis,obesus.lahontan,0.2115,0.4038,0.3846,52
alvordensis,bicolor.eurysomas,newarkensis,obesus.lahontan,0.3148,0.3333,0.3519,54
alvordensis,bicolor.eurysomas,newarkensis,obesus.snyderi,0.2857,0.2679,0.4464,56
alvordensis,bicolor.eurysomas,newarkensis,obesus.snyderi,0.322,0.2373,0.4407,59
alvordensis,bicolor.eurysomas,newarkensis,obesus.toikona,0.3086,0.2716,0.4198,81
alvordensis,bicolor.eurysomas,newarkensis,obesus.toikona,0.2603,0.3014,0.4384,73
alvordensis,bicolor.eurysomas,newarkensis,Railroad.Valley,0.3929,0.375,0.2321,56
alvordensis,bicolor.eurysomas,newarkensis,Railroad.Valley,0.2545,0.4,0.3455,55
alvordensis,bicolor.eurysomas,newarkensis,thalassinus,0.3115,0.2131,0.4754,61
alvordensis,bicolor.eurysomas,newarkensis,thalassinus,0.1458,0.4375,0.4167,48
alvordensis,bicolor.eurysomas,newarkensis,thalassinus.vaccaceps,0.2,0.4769,0.3231,65
alvordensis,bicolor.eurysomas,newarkensis,thalassinus.vaccaceps,0.1364,0.5455,0.3182,66
alvordensis,bicolor.eurysomas,obesus.lahontan,obesus.snyderi,0.2453,0.3585,0.3962,53
alvordensis,bicolor.eurysomas,obesus.lahontan,obesus.snyderi,0.4348,0.3043,0.2609,46
alvordensis,bicolor.eurysomas,obesus.lahontan,obesus.toikona,0.4262,0.2623,0.3115,61
alvordensis,bicolor.eurysomas,obesus.lahontan,obesus.toikona,0.4211,0.2105,0.3684,57
alvordensis,bicolor.eurysomas,obesus.lahontan,Railroad.Valley,0.5091,0.1818,0.3091,55
alvordensis,bicolor.eurysomas,obesus.lahontan,Railroad.Valley,0.3725,0.3137,0.3137,51
alvordensis,bicolor.eurysomas,obesus.lahontan,thalassinus,0.1702,0.4043,0.4255,47
alvordensis,bicolor.eurysomas,obesus.lahontan,thalassinus,0.2807,0.2807,0.4386,57
alvordensis,bicolor.eurysomas,obesus.lahontan,thalassinus.vaccaceps,0.2222,0.5111,0.2667,45
alvordensis,bicolor.eurysomas,obesus.lahontan,thalassinus.vaccaceps,0.1724,0.5172,0.3103,58
alvordensis,bicolor.eurysomas,obesus.snyderi,obesus.toikona,0.4706,0.25,0.2794,68
alvordensis,bicolor.eurysomas,obesus.snyderi,obesus.toikona,0.3833,0.2667,0.35,60
alvordensis,bicolor.eurysomas,obesus.snyderi,Railroad.Valley,0.339,0.4746,0.1864,59
alvordensis,bicolor.eurysomas,obesus.snyderi,Railroad.Valley,0.3,0.45,0.25,60
alvordensis,bicolor.eurysomas,obesus.snyderi,thalassinus,0.1475,0.4262,0.4262,61
alvordensis,bicolor.eurysomas,obesus.snyderi,thalassinus,0.209,0.3881,0.403,67
alvordensis,bicolor.eurysomas,obesus.snyderi,thalassinus.vaccaceps,0.2097,0.5323,0.2581,62
alvordensis,bicolor.eurysomas,obesus.snyderi,thalassinus.vaccaceps,0.2456,0.5614,0.193,57
alvordensis,bicolor.eurysomas,obesus.toikona,Railroad.Valley,0.3393,0.3929,0.2679,56
